"country","N","b_punto","se","p","b_sd","ci_lo","ci_hi"
"URY",6524,-0.421716331279456,0.0631549941304204,2.63169193578697e-11,-0.713433849044395,-0.922843677702915,-0.504024020385876
"BOL",9547,-0.312485084638616,0.0688181488365419,5.67461542764202e-06,-0.528643119004465,-0.756830880794077,-0.300455357214852
"SUR",5527,-0.170043881264587,0.052034095928441,0.00109000257756268,-0.287669819067669,-0.460204885578382,-0.115134752556955
"ECU",6955,-0.156663113268518,0.0567023087109475,0.00574403066436653,-0.265033055664074,-0.453047019012422,-0.0770190923157257
"ARG",5807,-0.0945495572522682,0.0580861684493983,0.103633106042263,-0.159953147537057,-0.352555723942956,0.0326494288688423
"PER",6807,-0.0533426622343527,0.0528657946036448,0.313000848672223,-0.090241847453877,-0.265534667004837,0.0850509720970834
"COL",5893,-0.00545789594722039,0.0449743431841913,0.903413401033933,-0.00923333393680915,-0.158359616504136,0.139892948630518
"VEN",5002,-0.000319888995688514,0.0465378346354447,0.994515867088373,-0.000541168602052002,-0.15485168847989,0.153769351275786
"PRY",5858,0.0146614812401717,0.0434187917807332,0.735619547992317,0.0248033955956437,-0.119164977334403,0.16877176852569
"BRA",6521,0.0372444418871019,0.0355898834589765,0.295373951978036,0.0630078646715189,-0.0550013521725226,0.18101708151556
"CHL",7157,0.0554919447189428,0.0507188704367601,0.27394435149617,0.0938778718663362,-0.0742961595646898,0.262051903297362
"GUY",4770,0.0874488905083765,0.0449533998287402,0.0517950045479741,0.147940674625451,-0.00111616379835369,0.296997513049256
